species,region,habitat,activity,visual_pattern,threat_level,body_length_cm,weight_kg,altitude_m,temperature_c,observation_quality
Tortue imbriquée,océans tropicaux,récif corallien,diurne,carapace écailleuse,critique,74.76,64.48,0.0,7.83,bonne
Gorille des montagnes,Afrique centrale,forêt montagneuse,diurne,pelage sombre,en danger,153.44,81.43,4300.57,21.17,bonne
Vaquita,Golfe de Californie,mer côtière,diurne,gris avec taches,critique,123.94,38.97,0.0,30.74,moyenne
Vaquita,Golfe de Californie,mer côtière,diurne,gris avec taches,critique,146.63,45.46,71.57,7.54,bonne
Vaquita,Golfe de Californie,mer côtière,diurne,gris avec taches,critique,143.91,51.77,46.23,30.65,moyenne
Tortue imbriquée,océans tropicaux,récif corallien,diurne,carapace écailleuse,critique,54.7,76.71,0.0,17.17,moyenne
Panda roux,Himalaya,forêt tempérée,crépusculaire,roux et blanc,en danger,53.62,7.0,3496.9,19.23,bonne
Gorille des montagnes,Afrique centrale,forêt montagneuse,diurne,pelage sombre,en danger,164.39,162.2,3483.99,24.71,bonne
Gorille des montagnes,Afrique centrale,forêt montagneuse,diurne,pelage sombre,en danger,165.0,127.24,2304.96,8.14,faible
Panda roux,Himalaya,forêt tempérée,crépusculaire,roux et blanc,en danger,60.23,6.77,1981.79,28.11,moyenne
Panda roux,Himalaya,forêt tempérée,crépusculaire,roux et blanc,en danger,46.93,2.91,3435.34,7.66,moyenne
Vaquita,Golfe de Californie,mer côtière,diurne,gris avec taches,critique,151.71,52.56,0.0,9.13,bonne
Gorille des montagnes,Afrique centrale,forêt montagneuse,diurne,pelage sombre,en danger,156.32,120.55,3326.49,28.72,bonne
Léopard des neiges,Asie centrale,montagne rocheuse,crépusculaire,rosettes grises,vulnérable,221.65,38.02,3825.35,25.87,bonne
Léopard des neiges,Asie centrale,montagne rocheuse,crépusculaire,rosettes grises,vulnérable,203.58,40.79,3212.27,19.33,moyenne
Tigre de Sumatra,Sumatra,forêt tropicale,nocturne,rayures noires,critique,258.96,100.9,708.63,14.99,bonne
Tortue imbriquée,océans tropicaux,récif corallien,diurne,carapace écailleuse,critique,72.7,66.47,0.0,13.69,moyenne
Panda roux,Himalaya,forêt tempérée,crépusculaire,roux et blanc,en danger,65.45,4.74,2389.42,10.44,faible
Gorille des montagnes,Afrique centrale,forêt montagneuse,diurne,pelage sombre,en danger,183.56,176.5,3531.17,8.11,moyenne
Orang-outan de Bornéo,Bornéo,forêt tropicale,diurne,pelage orangé,critique,119.36,91.08,289.96,17.76,moyenne
Vaquita,Golfe de Californie,mer côtière,diurne,gris avec taches,critique,142.77,30.97,32.48,10.26,moyenne
Gorille des montagnes,Afrique centrale,forêt montagneuse,diurne,pelage sombre,en danger,177.21,125.49,2710.2,19.46,faible
Orang-outan de Bornéo,Bornéo,forêt tropicale,diurne,pelage orangé,critique,144.11,68.34,680.77,9.87,moyenne
Tigre de Sumatra,Sumatra,forêt tropicale,nocturne,rayures noires,critique,227.53,121.44,548.35,22.7,bonne
Orang-outan de Bornéo,Bornéo,forêt tropicale,diurne,pelage orangé,critique,128.38,93.89,1034.67,20.5,faible
Tigre de Sumatra,Sumatra,forêt tropicale,nocturne,rayures noires,critique,266.26,97.68,664.03,7.72,moyenne
Rhinocéros de Java,Java,forêt humide,crépusculaire,peau grise,critique,317.05,1771.56,252.18,6.87,moyenne
Rhinocéros de Java,Java,forêt humide,crépusculaire,peau grise,critique,307.43,1843.51,584.14,10.75,bonne
Léopard des neiges,Asie centrale,montagne rocheuse,crépusculaire,rosettes grises,vulnérable,171.74,44.32,4873.82,15.13,bonne
Tigre de Sumatra,Sumatra,forêt tropicale,nocturne,rayures noires,critique,244.59,134.36,298.3,7.76,faible
Léopard des neiges,Asie centrale,montagne rocheuse,crépusculaire,rosettes grises,vulnérable,205.97,45.45,3157.4,21.8,bonne
Gorille des montagnes,Afrique centrale,forêt montagneuse,diurne,pelage sombre,en danger,142.42,95.45,4181.35,11.81,faible
Orang-outan de Bornéo,Bornéo,forêt tropicale,diurne,pelage orangé,critique,133.5,60.32,1476.65,15.76,bonne
Tortue imbriquée,océans tropicaux,récif corallien,diurne,carapace écailleuse,critique,85.07,48.62,121.42,16.06,faible
Orang-outan de Bornéo,Bornéo,forêt tropicale,diurne,pelage orangé,critique,137.69,74.39,1168.96,10.25,moyenne
Gorille des montagnes,Afrique centrale,forêt montagneuse,diurne,pelage sombre,en danger,151.81,154.28,4091.69,30.57,bonne
Tortue imbriquée,océans tropicaux,récif corallien,diurne,carapace écailleuse,critique,68.32,43.58,70.68,21.31,bonne
Orang-outan de Bornéo,Bornéo,forêt tropicale,diurne,pelage orangé,critique,138.79,89.62,995.27,30.75,moyenne
Gorille des montagnes,Afrique centrale,forêt montagneuse,diurne,pelage sombre,en danger,150.92,164.32,3411.22,26.44,moyenne
Panda roux,Himalaya,forêt tempérée,crépusculaire,roux et blanc,en danger,58.78,7.61,3016.73,23.41,bonne
Tigre de Sumatra,Sumatra,forêt tropicale,nocturne,rayures noires,critique,218.48,78.0,252.36,26.87,bonne
Vaquita,Golfe de Californie,mer côtière,diurne,gris avec taches,critique,131.48,39.06,0.0,13.56,bonne
Rhinocéros de Java,Java,forêt humide,crépusculaire,peau grise,critique,331.79,1261.92,23.41,9.93,faible
Rhinocéros de Java,Java,forêt humide,crépusculaire,peau grise,critique,325.94,1413.08,425.45,29.89,faible
Tortue imbriquée,océans tropicaux,récif corallien,diurne,carapace écailleuse,critique,94.4,71.08,36.34,33.88,faible
Léopard des neiges,Asie centrale,montagne rocheuse,crépusculaire,rosettes grises,vulnérable,198.71,25.76,5160.73,32.51,bonne
Vaquita,Golfe de Californie,mer côtière,diurne,gris avec taches,critique,121.2,39.42,0.0,22.13,moyenne
Léopard des neiges,Asie centrale,montagne rocheuse,crépusculaire,rosettes grises,vulnérable,171.5,26.01,4938.47,18.34,bonne
Vaquita,Golfe de Californie,mer côtière,diurne,gris avec taches,critique,138.08,46.55,42.84,20.31,moyenne
Orang-outan de Bornéo,Bornéo,forêt tropicale,diurne,pelage orangé,critique,131.94,55.57,668.01,21.5,moyenne
Rhinocéros de Java,Java,forêt humide,crépusculaire,peau grise,critique,309.48,1550.68,316.79,14.45,bonne
Vaquita,Golfe de Californie,mer côtière,diurne,gris avec taches,critique,134.15,36.09,0.0,24.4,bonne
Léopard des neiges,Asie centrale,montagne rocheuse,crépusculaire,rosettes grises,vulnérable,201.45,41.69,5213.83,19.35,bonne
Rhinocéros de Java,Java,forêt humide,crépusculaire,peau grise,critique,302.35,1771.17,203.26,21.02,faible
Tortue imbriquée,océans tropicaux,récif corallien,diurne,carapace écailleuse,critique,89.77,67.02,0.0,14.39,faible
Léopard des neiges,Asie centrale,montagne rocheuse,crépusculaire,rosettes grises,vulnérable,203.5,37.02,3961.06,15.96,bonne
Tigre de Sumatra,Sumatra,forêt tropicale,nocturne,rayures noires,critique,236.07,122.02,672.13,32.29,moyenne
Gorille des montagnes,Afrique centrale,forêt montagneuse,diurne,pelage sombre,en danger,175.29,137.76,3986.73,29.25,faible
Rhinocéros de Java,Java,forêt humide,crépusculaire,peau grise,critique,311.5,1213.55,391.76,25.99,faible
Tigre de Sumatra,Sumatra,forêt tropicale,nocturne,rayures noires,critique,256.15,126.03,1186.78,13.74,bonne
Panda roux,Himalaya,forêt tempérée,crépusculaire,roux et blanc,en danger,67.64,1.97,3132.92,5.13,bonne
Tigre de Sumatra,Sumatra,forêt tropicale,nocturne,rayures noires,critique,249.24,88.63,226.31,21.43,bonne
Gorille des montagnes,Afrique centrale,forêt montagneuse,diurne,pelage sombre,en danger,181.56,77.04,2469.27,26.93,moyenne
Léopard des neiges,Asie centrale,montagne rocheuse,crépusculaire,rosettes grises,vulnérable,184.01,49.14,4648.07,10.03,bonne
Gorille des montagnes,Afrique centrale,forêt montagneuse,diurne,pelage sombre,en danger,170.4,160.14,2355.27,32.17,bonne
Tortue imbriquée,océans tropicaux,récif corallien,diurne,carapace écailleuse,critique,85.15,69.35,0.0,19.92,bonne
Gorille des montagnes,Afrique centrale,forêt montagneuse,diurne,pelage sombre,en danger,151.61,142.89,3307.56,26.29,bonne
Tigre de Sumatra,Sumatra,forêt tropicale,nocturne,rayures noires,critique,250.34,111.79,697.66,12.08,bonne
Vaquita,Golfe de Californie,mer côtière,diurne,gris avec taches,critique,138.14,47.02,160.57,12.64,bonne
Vaquita,Golfe de Californie,mer côtière,diurne,gris avec taches,critique,144.22,47.01,0.0,27.5,bonne
Tortue imbriquée,océans tropicaux,récif corallien,diurne,carapace écailleuse,critique,73.28,50.43,68.22,27.04,bonne
Panda roux,Himalaya,forêt tempérée,crépusculaire,roux et blanc,en danger,61.32,8.32,1903.02,27.07,bonne
Léopard des neiges,Asie centrale,montagne rocheuse,crépusculaire,rosettes grises,vulnérable,212.57,33.77,4290.38,29.53,faible
Vaquita,Golfe de Californie,mer côtière,diurne,gris avec taches,critique,122.98,29.78,61.12,5.41,moyenne
Gorille des montagnes,Afrique centrale,forêt montagneuse,diurne,pelage sombre,en danger,169.68,112.49,2302.43,29.26,faible
Rhinocéros de Java,Java,forêt humide,crépusculaire,peau grise,critique,313.97,1125.76,190.0,21.2,faible
Tortue imbriquée,océans tropicaux,récif corallien,diurne,carapace écailleuse,critique,73.75,35.71,13.4,28.67,bonne
Tortue imbriquée,océans tropicaux,récif corallien,diurne,carapace écailleuse,critique,85.52,49.9,0.0,17.97,bonne
Tigre de Sumatra,Sumatra,forêt tropicale,nocturne,rayures noires,critique,255.11,133.25,198.75,29.21,moyenne
Tigre de Sumatra,Sumatra,forêt tropicale,nocturne,rayures noires,critique,253.47,115.06,604.41,14.94,moyenne
Léopard des neiges,Asie centrale,montagne rocheuse,crépusculaire,rosettes grises,vulnérable,222.33,52.92,5207.17,8.39,bonne
Léopard des neiges,Asie centrale,montagne rocheuse,crépusculaire,rosettes grises,vulnérable,185.32,51.74,5120.7,25.75,bonne
Orang-outan de Bornéo,Bornéo,forêt tropicale,diurne,pelage orangé,critique,117.84,64.29,1342.2,16.35,bonne
Panda roux,Himalaya,forêt tempérée,crépusculaire,roux et blanc,en danger,58.3,3.76,2040.96,6.76,bonne
Orang-outan de Bornéo,Bornéo,forêt tropicale,diurne,pelage orangé,critique,138.21,58.23,811.88,25.84,faible
Tigre de Sumatra,Sumatra,forêt tropicale,nocturne,rayures noires,critique,249.99,89.68,710.91,17.61,moyenne
Gorille des montagnes,Afrique centrale,forêt montagneuse,diurne,pelage sombre,en danger,155.62,84.06,3261.39,7.55,faible
Orang-outan de Bornéo,Bornéo,forêt tropicale,diurne,pelage orangé,critique,144.67,101.7,1155.31,25.21,bonne
Panda roux,Himalaya,forêt tempérée,crépusculaire,roux et blanc,en danger,44.94,6.87,3207.86,27.12,faible
Gorille des montagnes,Afrique centrale,forêt montagneuse,diurne,pelage sombre,en danger,152.95,160.89,2210.67,29.76,moyenne
Tigre de Sumatra,Sumatra,forêt tropicale,nocturne,rayures noires,critique,233.25,132.58,305.76,14.29,bonne
Gorille des montagnes,Afrique centrale,forêt montagneuse,diurne,pelage sombre,en danger,157.57,170.26,2606.58,7.81,bonne
Tortue imbriquée,océans tropicaux,récif corallien,diurne,carapace écailleuse,critique,88.68,52.17,0.0,27.65,bonne
Tigre de Sumatra,Sumatra,forêt tropicale,nocturne,rayures noires,critique,252.53,80.35,966.7,28.76,faible
Léopard des neiges,Asie centrale,montagne rocheuse,crépusculaire,rosettes grises,vulnérable,203.75,49.93,5057.19,28.34,bonne
Tigre de Sumatra,Sumatra,forêt tropicale,nocturne,rayures noires,critique,230.21,94.04,690.86,11.35,bonne
Tigre de Sumatra,Sumatra,forêt tropicale,nocturne,rayures noires,critique,233.14,100.9,289.29,27.47,moyenne
Panda roux,Himalaya,forêt tempérée,crépusculaire,roux et blanc,en danger,61.81,3.6,2923.45,22.29,bonne
Orang-outan de Bornéo,Bornéo,forêt tropicale,diurne,pelage orangé,critique,141.49,55.13,299.96,16.58,faible
Tigre de Sumatra,Sumatra,forêt tropicale,nocturne,rayures noires,critique,262.45,112.93,978.62,30.8,bonne
Gorille des montagnes,Afrique centrale,forêt montagneuse,diurne,pelage sombre,en danger,153.28,95.67,3519.7,6.86,bonne
Rhinocéros de Java,Java,forêt humide,crépusculaire,peau grise,critique,326.88,1913.63,560.24,25.2,bonne
Tigre de Sumatra,Sumatra,forêt tropicale,nocturne,rayures noires,critique,239.64,88.68,75.93,7.81,bonne
Orang-outan de Bornéo,Bornéo,forêt tropicale,diurne,pelage orangé,critique,124.41,78.64,953.26,33.98,bonne
Tigre de Sumatra,Sumatra,forêt tropicale,nocturne,rayures noires,critique,259.71,82.18,1271.35,18.38,moyenne
Tigre de Sumatra,Sumatra,forêt tropicale,nocturne,rayures noires,critique,239.37,111.38,607.32,33.09,moyenne
Panda roux,Himalaya,forêt tempérée,crépusculaire,roux et blanc,en danger,54.27,7.41,3325.79,18.31,bonne
Orang-outan de Bornéo,Bornéo,forêt tropicale,diurne,pelage orangé,critique,133.64,55.07,0.0,16.84,moyenne
Tortue imbriquée,océans tropicaux,récif corallien,diurne,carapace écailleuse,critique,90.79,74.44,3.49,23.7,bonne
Panda roux,Himalaya,forêt tempérée,crépusculaire,roux et blanc,en danger,50.36,3.55,3361.86,33.47,bonne
Rhinocéros de Java,Java,forêt humide,crépusculaire,peau grise,critique,338.26,2058.58,232.86,21.74,bonne
Rhinocéros de Java,Java,forêt humide,crépusculaire,peau grise,critique,315.09,1328.34,307.91,31.66,faible
Tigre de Sumatra,Sumatra,forêt tropicale,nocturne,rayures noires,critique,244.22,133.3,505.04,15.43,moyenne
Tigre de Sumatra,Sumatra,forêt tropicale,nocturne,rayures noires,critique,240.93,91.81,605.32,18.48,moyenne
Léopard des neiges,Asie centrale,montagne rocheuse,crépusculaire,rosettes grises,vulnérable,187.52,33.3,4827.27,14.55,moyenne
Tigre de Sumatra,Sumatra,forêt tropicale,nocturne,rayures noires,critique,233.27,84.27,372.52,27.02,bonne
Tigre de Sumatra,Sumatra,forêt tropicale,nocturne,rayures noires,critique,255.16,106.05,610.04,18.56,moyenne
Tortue imbriquée,océans tropicaux,récif corallien,diurne,carapace écailleuse,critique,72.76,53.58,36.46,21.36,moyenne
Léopard des neiges,Asie centrale,montagne rocheuse,crépusculaire,rosettes grises,vulnérable,216.82,31.71,4389.15,15.1,bonne
Tigre de Sumatra,Sumatra,forêt tropicale,nocturne,rayures noires,critique,233.99,75.45,1129.02,17.87,bonne
Orang-outan de Bornéo,Bornéo,forêt tropicale,diurne,pelage orangé,critique,141.41,97.61,655.88,5.69,bonne
Tortue imbriquée,océans tropicaux,récif corallien,diurne,carapace écailleuse,critique,59.54,43.87,0.0,13.98,bonne
Tigre de Sumatra,Sumatra,forêt tropicale,nocturne,rayures noires,critique,244.35,102.6,1034.73,15.08,bonne
Panda roux,Himalaya,forêt tempérée,crépusculaire,roux et blanc,en danger,67.5,6.96,3455.04,32.14,faible
Vaquita,Golfe de Californie,mer côtière,diurne,gris avec taches,critique,137.89,34.83,16.26,22.76,faible
Panda roux,Himalaya,forêt tempérée,crépusculaire,roux et blanc,en danger,69.73,5.69,2697.42,22.65,bonne
Léopard des neiges,Asie centrale,montagne rocheuse,crépusculaire,rosettes grises,vulnérable,215.95,36.92,3040.92,28.53,bonne
Panda roux,Himalaya,forêt tempérée,crépusculaire,roux et blanc,en danger,66.98,5.76,3088.26,32.43,moyenne
Tortue imbriquée,océans tropicaux,récif corallien,diurne,carapace écailleuse,critique,70.38,60.26,0.0,32.97,moyenne
Vaquita,Golfe de Californie,mer côtière,diurne,gris avec taches,critique,156.88,55.13,53.16,11.89,faible
Vaquita,Golfe de Californie,mer côtière,diurne,gris avec taches,critique,122.83,54.19,18.98,29.14,moyenne
Panda roux,Himalaya,forêt tempérée,crépusculaire,roux et blanc,en danger,51.53,3.18,2534.18,33.18,bonne
Léopard des neiges,Asie centrale,montagne rocheuse,crépusculaire,rosettes grises,vulnérable,233.38,31.56,3815.79,24.31,bonne
Léopard des neiges,Asie centrale,montagne rocheuse,crépusculaire,rosettes grises,vulnérable,221.15,32.33,4823.87,24.83,bonne
Rhinocéros de Java,Java,forêt humide,crépusculaire,peau grise,critique,297.77,1191.83,31.79,18.08,bonne
Orang-outan de Bornéo,Bornéo,forêt tropicale,diurne,pelage orangé,critique,144.02,46.6,906.5,6.95,moyenne
Gorille des montagnes,Afrique centrale,forêt montagneuse,diurne,pelage sombre,en danger,154.65,68.99,3480.47,12.89,moyenne
Panda roux,Himalaya,forêt tempérée,crépusculaire,roux et blanc,en danger,53.65,3.01,3222.52,5.16,faible
Orang-outan de Bornéo,Bornéo,forêt tropicale,diurne,pelage orangé,critique,144.85,35.31,1080.93,10.98,bonne
Orang-outan de Bornéo,Bornéo,forêt tropicale,diurne,pelage orangé,critique,127.2,38.46,406.49,8.94,moyenne
Rhinocéros de Java,Java,forêt humide,crépusculaire,peau grise,critique,313.61,1570.66,306.35,27.98,moyenne
Gorille des montagnes,Afrique centrale,forêt montagneuse,diurne,pelage sombre,en danger,154.75,70.47,3870.76,31.93,bonne
Vaquita,Golfe de Californie,mer côtière,diurne,gris avec taches,critique,119.28,33.44,90.87,8.29,bonne
Rhinocéros de Java,Java,forêt humide,crépusculaire,peau grise,critique,305.47,1414.89,62.18,31.59,moyenne
Tortue imbriquée,océans tropicaux,récif corallien,diurne,carapace écailleuse,critique,80.48,69.22,0.0,21.35,moyenne
Tortue imbriquée,océans tropicaux,récif corallien,diurne,carapace écailleuse,critique,67.86,47.72,0.0,32.83,bonne
Panda roux,Himalaya,forêt tempérée,crépusculaire,roux et blanc,en danger,54.97,4.47,3630.41,9.07,bonne
Rhinocéros de Java,Java,forêt humide,crépusculaire,peau grise,critique,325.37,2077.38,102.18,26.81,moyenne
Vaquita,Golfe de Californie,mer côtière,diurne,gris avec taches,critique,148.45,36.76,0.0,10.83,bonne
Tortue imbriquée,océans tropicaux,récif corallien,diurne,carapace écailleuse,critique,98.32,71.89,0.0,25.07,bonne
Tortue imbriquée,océans tropicaux,récif corallien,diurne,carapace écailleuse,critique,67.95,48.56,0.0,21.64,moyenne
Panda roux,Himalaya,forêt tempérée,crépusculaire,roux et blanc,en danger,64.87,5.71,3961.48,8.9,moyenne
Panda roux,Himalaya,forêt tempérée,crépusculaire,roux et blanc,en danger,58.65,4.89,3428.07,31.71,bonne
Tortue imbriquée,océans tropicaux,récif corallien,diurne,carapace écailleuse,critique,67.17,70.64,60.62,10.66,faible
Gorille des montagnes,Afrique centrale,forêt montagneuse,diurne,pelage sombre,en danger,159.68,74.59,3884.24,19.86,moyenne
Gorille des montagnes,Afrique centrale,forêt montagneuse,diurne,pelage sombre,en danger,141.51,148.17,3842.67,19.1,moyenne
Tortue imbriquée,océans tropicaux,récif corallien,diurne,carapace écailleuse,critique,101.04,75.59,0.0,20.47,bonne
Gorille des montagnes,Afrique centrale,forêt montagneuse,diurne,pelage sombre,en danger,159.97,115.07,2815.73,17.03,faible
Orang-outan de Bornéo,Bornéo,forêt tropicale,diurne,pelage orangé,critique,110.6,77.92,383.57,31.67,moyenne
Gorille des montagnes,Afrique centrale,forêt montagneuse,diurne,pelage sombre,en danger,138.43,98.35,2599.19,23.18,moyenne
Panda roux,Himalaya,forêt tempérée,crépusculaire,roux et blanc,en danger,48.37,4.82,2488.85,27.58,bonne
Tigre de Sumatra,Sumatra,forêt tropicale,nocturne,rayures noires,critique,251.86,134.03,0.0,20.07,bonne
Tortue imbriquée,océans tropicaux,récif corallien,diurne,carapace écailleuse,critique,77.13,47.41,0.0,23.96,bonne
Tortue imbriquée,océans tropicaux,récif corallien,diurne,carapace écailleuse,critique,66.94,78.73,108.03,9.63,moyenne
Vaquita,Golfe de Californie,mer côtière,diurne,gris avec taches,critique,147.23,53.26,0.0,19.71,moyenne
Tigre de Sumatra,Sumatra,forêt tropicale,nocturne,rayures noires,critique,234.11,119.96,753.89,25.11,bonne
Vaquita,Golfe de Californie,mer côtière,diurne,gris avec taches,critique,137.03,29.95,0.0,22.79,moyenne
Rhinocéros de Java,Java,forêt humide,crépusculaire,peau grise,critique,298.99,1181.93,52.72,26.15,moyenne
Orang-outan de Bornéo,Bornéo,forêt tropicale,diurne,pelage orangé,critique,121.56,59.05,1060.0,20.32,faible
Vaquita,Golfe de Californie,mer côtière,diurne,gris avec taches,critique,118.61,29.62,0.0,14.49,bonne
Vaquita,Golfe de Californie,mer côtière,diurne,gris avec taches,critique,130.67,51.91,0.0,22.92,moyenne
Vaquita,Golfe de Californie,mer côtière,diurne,gris avec taches,critique,131.85,37.89,28.23,10.62,moyenne
Tigre de Sumatra,Sumatra,forêt tropicale,nocturne,rayures noires,critique,236.73,104.34,441.45,7.6,faible
Rhinocéros de Java,Java,forêt humide,crépusculaire,peau grise,critique,338.31,988.35,390.95,31.21,bonne
Rhinocéros de Java,Java,forêt humide,crépusculaire,peau grise,critique,301.89,2231.03,356.49,13.08,bonne
Orang-outan de Bornéo,Bornéo,forêt tropicale,diurne,pelage orangé,critique,129.42,97.83,1049.55,8.29,bonne
Orang-outan de Bornéo,Bornéo,forêt tropicale,diurne,pelage orangé,critique,150.23,93.13,253.86,22.0,moyenne
Orang-outan de Bornéo,Bornéo,forêt tropicale,diurne,pelage orangé,critique,136.88,34.23,1012.66,11.96,moyenne
Tigre de Sumatra,Sumatra,forêt tropicale,nocturne,rayures noires,critique,241.63,118.98,659.37,5.16,bonne
Gorille des montagnes,Afrique centrale,forêt montagneuse,diurne,pelage sombre,en danger,150.79,125.16,3041.2,23.87,faible
Léopard des neiges,Asie centrale,montagne rocheuse,crépusculaire,rosettes grises,vulnérable,216.94,28.18,4153.78,23.43,bonne
Orang-outan de Bornéo,Bornéo,forêt tropicale,diurne,pelage orangé,critique,125.24,55.22,611.58,8.26,moyenne
Tortue imbriquée,océans tropicaux,récif corallien,diurne,carapace écailleuse,critique,89.31,55.73,2.59,11.67,bonne
Tortue imbriquée,océans tropicaux,récif corallien,diurne,carapace écailleuse,critique,74.64,77.03,0.0,15.63,moyenne
Panda roux,Himalaya,forêt tempérée,crépusculaire,roux et blanc,en danger,58.54,1.79,3895.56,30.14,faible
Panda roux,Himalaya,forêt tempérée,crépusculaire,roux et blanc,en danger,71.82,4.59,1981.12,13.83,bonne
Vaquita,Golfe de Californie,mer côtière,diurne,gris avec taches,critique,133.8,37.25,6.34,9.55,bonne
Vaquita,Golfe de Californie,mer côtière,diurne,gris avec taches,critique,138.4,50.31,0.0,20.98,faible
Tortue imbriquée,océans tropicaux,récif corallien,diurne,carapace écailleuse,critique,78.35,45.23,0.0,31.56,moyenne
Panda roux,Himalaya,forêt tempérée,crépusculaire,roux et blanc,en danger,47.94,4.07,2031.87,16.46,bonne
Panda roux,Himalaya,forêt tempérée,crépusculaire,roux et blanc,en danger,45.12,4.35,2166.77,9.65,bonne
Tortue imbriquée,océans tropicaux,récif corallien,diurne,carapace écailleuse,critique,63.42,74.54,39.65,19.71,moyenne
Tortue imbriquée,océans tropicaux,récif corallien,diurne,carapace écailleuse,critique,97.0,75.43,0.0,13.36,bonne
Tortue imbriquée,océans tropicaux,récif corallien,diurne,carapace écailleuse,critique,91.21,41.58,0.0,32.07,bonne
Panda roux,Himalaya,forêt tempérée,crépusculaire,roux et blanc,en danger,55.3,5.7,3435.5,12.55,moyenne
Vaquita,Golfe de Californie,mer côtière,diurne,gris avec taches,critique,120.98,32.26,0.0,14.1,moyenne
Panda roux,Himalaya,forêt tempérée,crépusculaire,roux et blanc,en danger,59.27,0.5,1964.01,12.14,faible
Gorille des montagnes,Afrique centrale,forêt montagneuse,diurne,pelage sombre,en danger,142.3,163.01,3209.8,5.35,bonne
Orang-outan de Bornéo,Bornéo,forêt tropicale,diurne,pelage orangé,critique,132.07,35.43,1234.29,23.34,bonne
Orang-outan de Bornéo,Bornéo,forêt tropicale,diurne,pelage orangé,critique,137.57,62.46,1263.75,29.71,bonne
Orang-outan de Bornéo,Bornéo,forêt tropicale,diurne,pelage orangé,critique,115.07,46.95,611.67,10.71,moyenne
Vaquita,Golfe de Californie,mer côtière,diurne,gris avec taches,critique,143.36,43.42,0.0,12.09,bonne
Vaquita,Golfe de Californie,mer côtière,diurne,gris avec taches,critique,142.9,53.28,0.0,19.41,bonne
Vaquita,Golfe de Californie,mer côtière,diurne,gris avec taches,critique,128.37,40.46,0.0,31.57,moyenne
Panda roux,Himalaya,forêt tempérée,crépusculaire,roux et blanc,en danger,64.46,2.81,3834.06,10.46,faible
Panda roux,Himalaya,forêt tempérée,crépusculaire,roux et blanc,en danger,54.83,4.59,2456.95,15.49,faible
Tortue imbriquée,océans tropicaux,récif corallien,diurne,carapace écailleuse,critique,92.11,77.41,0.0,5.1,faible
Vaquita,Golfe de Californie,mer côtière,diurne,gris avec taches,critique,122.06,43.39,103.12,22.08,bonne
Panda roux,Himalaya,forêt tempérée,crépusculaire,roux et blanc,en danger,53.15,6.48,2849.52,27.15,bonne
Panda roux,Himalaya,forêt tempérée,crépusculaire,roux et blanc,en danger,67.1,6.65,3468.16,12.35,bonne
Gorille des montagnes,Afrique centrale,forêt montagneuse,diurne,pelage sombre,en danger,178.23,134.28,2787.03,16.5,moyenne
Tigre de Sumatra,Sumatra,forêt tropicale,nocturne,rayures noires,critique,231.98,125.31,386.51,30.36,faible
Vaquita,Golfe de Californie,mer côtière,diurne,gris avec taches,critique,134.35,42.09,0.0,8.92,bonne
Léopard des neiges,Asie centrale,montagne rocheuse,crépusculaire,rosettes grises,vulnérable,210.36,39.89,3158.64,19.64,moyenne
Vaquita,Golfe de Californie,mer côtière,diurne,gris avec taches,critique,133.48,44.71,0.0,31.09,faible
Léopard des neiges,Asie centrale,montagne rocheuse,crépusculaire,rosettes grises,vulnérable,220.07,40.4,3862.89,12.85,bonne
Panda roux,Himalaya,forêt tempérée,crépusculaire,roux et blanc,en danger,54.94,2.86,4056.32,8.68,bonne
Tortue imbriquée,océans tropicaux,récif corallien,diurne,carapace écailleuse,critique,69.46,54.63,25.93,26.94,moyenne
Tigre de Sumatra,Sumatra,forêt tropicale,nocturne,rayures noires,critique,228.02,133.03,257.71,9.45,faible
Tortue imbriquée,océans tropicaux,récif corallien,diurne,carapace écailleuse,critique,92.67,59.01,45.13,14.51,bonne
Tortue imbriquée,océans tropicaux,récif corallien,diurne,carapace écailleuse,critique,69.76,60.69,0.0,25.13,bonne
Rhinocéros de Java,Java,forêt humide,crépusculaire,peau grise,critique,331.87,1882.29,185.72,10.93,bonne
Orang-outan de Bornéo,Bornéo,forêt tropicale,diurne,pelage orangé,critique,142.67,59.16,328.69,16.62,moyenne
Rhinocéros de Java,Java,forêt humide,crépusculaire,peau grise,critique,329.72,2211.64,233.09,14.97,moyenne
Tigre de Sumatra,Sumatra,forêt tropicale,nocturne,rayures noires,critique,247.53,138.45,79.19,10.97,bonne
Tortue imbriquée,océans tropicaux,récif corallien,diurne,carapace écailleuse,critique,77.14,66.29,46.46,9.47,bonne
Léopard des neiges,Asie centrale,montagne rocheuse,crépusculaire,rosettes grises,vulnérable,189.18,34.95,3068.0,7.85,bonne
Léopard des neiges,Asie centrale,montagne rocheuse,crépusculaire,rosettes grises,vulnérable,227.95,28.56,3491.18,7.78,bonne
Léopard des neiges,Asie centrale,montagne rocheuse,crépusculaire,rosettes grises,vulnérable,176.68,48.32,4913.04,16.3,faible
Tortue imbriquée,océans tropicaux,récif corallien,diurne,carapace écailleuse,critique,58.85,55.64,0.0,32.82,bonne
Gorille des montagnes,Afrique centrale,forêt montagneuse,diurne,pelage sombre,en danger,168.49,95.54,2980.52,33.32,moyenne
Vaquita,Golfe de Californie,mer côtière,diurne,gris avec taches,critique,135.16,41.35,32.44,25.02,moyenne
